Index,q1,q2,q3,q4,q5,q6
0,-0.018434629180973643,3.194321913053865,1.4944393161703062,3.1454628798430626,1.8998825968835586,-0.01931836770425241
1,-0.05046205832397781,3.184532290150732,1.4847715380089839,3.1521855318631116,1.8997612106611805,-0.05288118035991996
2,-0.09218891803798951,3.171863322086284,1.4720471829249169,3.160934030900221,1.8998411314686903,-0.09660822851160797
3,-0.14065320451165006,3.157412865997,1.4572543298177518,3.1710636093355706,1.900222753018023,-0.1473912313914346
4,-0.19369203332921403,3.1421930906427162,1.4413927969926201,3.182089171474644,1.9008640426972607,-0.20295520596791494
5,-0.24977448617217193,3.127115219040394,1.4254334543497649,3.193660600865369,1.9016146524270783,-0.26168587400815413
6,-0.3078348983884826,3.1129621958917104,1.4102515316942328,3.2055353659208796,1.9022715662568632,-0.3224574509648169
7,-0.3671251113685767,3.1003712055062476,1.3965748670800133,3.2175497389557735,1.902630124412649,-0.38447906178269703
8,-0.42709497157765275,3.089830448036254,1.3849589531322217,3.22959156216284,1.9025194634294271,-0.4471695629281032
9,-0.48730350242416065,3.081687077870802,1.3757862668674765,3.241577274834951,1.9018206348115043,-0.5100638122262879
10,-0.5473585479349721,3.0761615460088265,1.3692823423609102,3.2534347151490106,1.9004703836841934,-0.5727485516646181
11,-0.6068803559457504,3.073364458229157,1.3655408758856538,3.265091976543478,1.8984551848797864,-0.6348234467343876
12,-0.6654839500510576,3.073313548091193,1.3645518755005839,3.276471742183473,1.8957999820216358,-0.6958820174290901
13,-0.7227754367243552,3.0759496262557597,1.3662289005948882,3.287490061139518,1.892555157578911,-0.7555074091852012
14,-0.7783580027793283,3.0811511706962165,1.3704331312688198,3.298058352248618,1.888784172312985,-0.8132785419142267
15,-0.8318439724417532,3.0887476051550378,1.3769932137407863,3.3080874192171463,1.8845533290524972,-0.8687827996262207
16,-0.8828698315237765,3.098531407789404,1.3857206116637177,3.317492369323344,1.8799243324424684,-0.921631982655991
17,-0.9311116214026987,3.110269138818083,1.3964206774529395,3.3261975134942543,1.874949742442092,-0.9714787662943338
18,-0.9762986177865395,3.123711386171949,1.4088999513883576,3.3341405612932866,1.8696710331970903,-1.0180314521190212
